name,cost,location,x,y
FCC4h,1.0,fronto-central,52.6167,-2.40869
FCC5h,1.0,fronto-central,-64.9962,1.37752
FCC6h,1.0,fronto-central,64.9962,1.37752
FCCz,1.0,fronto-central,0.0,12.51313
FFC1,1.0,frontal,-37.1529,31.11982
FFC1h,1.0,frontal,-19.5741,38.59738
FFC2,1.0,frontal,37.1529,31.11982
FFC2h,1.0,frontal,19.5741,38.59738
FFC3,1.0,frontal,-50.0157,37.94632
FFC3h,1.0,frontal,-41.2389,40.57144
FFC4,1.0,frontal,50.0157,37.94632
FFC4h,1.0,frontal,41.2389,40.57144
FFC5,1.0,frontal,-56.2131,32.33698
FFC6,1.0,frontal,56.2131,32.33698
FFCz,1.0,frontal,0.0,42.10162
FFT7h,1.0,frontal,-59.7645,23.85529
FFT8h,1.0,frontal,59.7645,23.85529
FT7,1.5,fronto-temporal,-62.4825,15.69283
FT8,1.5,fronto-temporal,62.4825,15.69283
FT9h,1.0,fronto-temporal,-64.8684,4.79662
FTT10h,1.0,fronto-temporal,64.8684,4.79662
FTT7,1.0,fronto-temporal,-65.5398,-2.33903
FTT7h,1.0,fronto-temporal,-65.4066,2.97061
FTT8,1.0,fronto-temporal,65.5398,-2.33903
FTT8h,1.0,fronto-temporal,65.4066,2.97061
Fp2h,1.5,frontopolar,9.8919,73.384
Fpz,1.5,frontopolar,0.0,73.5082
I1,1.0,unknown,-24.1605,-96.64535
I2,1.0,unknown,24.1605,-96.64535
I2h,1.0,unknown,7.9749,-101.47871
Iz,1.0,unknown,-7.9749,-101.47871
O1,1.0,occipital,-25.8705,-101.49689
O1h,1.0,occipital,-7.893,-106.54157
O2,1.0,occipital,25.8705,-101.49689
O2h,1.0,occipital,7.893,-106.54157
OI1h,1.0,occipital,-17.0577,-102.68075
OI2h,1.0,occipital,17.0577,-102.68075
OIz,1.0,occipital,-1.053e-14,-106.19498
P1,1.0,parietal,-18.3438,-77.58578
P10h,1.0,parietal,54.3258,-69.30623
P2h,1.0,parietal,18.3438,-77.58578
P3,1.0,parietal,-45.9423,-70.52942
P4,1.0,parietal,45.9423,-70.52942
P4h,1.0,parietal,35.2026,-67.38986
P5,1.0,parietal,-61.8408,-63.12737
P5h,1.0,parietal,-54.7632,-69.25043
P6,1.0,parietal,61.8408,-63.12737
P6h,1.0,parietal,54.7632,-69.25043
P7,1.0,parietal,-58.6215,-62.13206
P7h,1.0,parietal,-57.4407,-70.83686
P8,1.0,parietal,58.6215,-62.13206
P8h,1.0,parietal,57.4407,-70.83686
P9h,1.0,parietal,-54.3258,-69.30623
PO10h,1.0,parieto-occipital,41.9733,-87.25754
PO1h,1.0,parieto-occipital,-10.1511,-101.39978
PO2h,1.0,parieto-occipital,10.1511,-101.39978
PO3h,1.0,parieto-occipital,-28.7667,-94.43972
PO4h,1.0,parieto-occipital,28.7667,-94.43972
PO5h,1.0,parieto-occipital,-37.8432,-93.11411
PO6h,1.0,parieto-occipital,37.8432,-93.11411
PO7h,1.0,parieto-occipital,-44.6067,-88.74803
PO8h,1.0,parieto-occipital,44.6067,-88.74803
PO9h,1.0,parieto-occipital,-41.9733,-87.25754
POO10h,1.0,parieto-occipital,34.3926,-95.67965
POO3h,1.0,parieto-occipital,-17.1729,-103.62044
POO4h,1.0,parieto-occipital,17.1729,-103.62044
POO9h,1.0,parieto-occipital,-34.3926,-95.67965
POOz,1.0,parieto-occipital,-1.053e-14,-105.68
POz,1.0,parieto-occipital,-9.18e-15,-94.84562
PPO1,1.0,parietal,-16.7868,-90.74486
PPO2h,1.0,parietal,16.7868,-90.74486
PPO3,1.0,parietal,-43.6941,-83.59175
PPO3h,1.0,parietal,-33.1857,-82.41644
PPO4,1.0,parietal,43.6941,-83.59175
PPO4h,1.0,parietal,33.1857,-82.41644
PPO5,1.0,parietal,-51.1668,-79.59134
PPO6,1.0,parietal,51.1668,-79.59134
PPO7,1.0,parietal,-50.9229,-79.6493
PPO8,1.0,parietal,50.9229,-79.6493
PPOz,1.0,parietal,-7.857e-15,-84.17711
T7,1.5,temporal,-67.7709,-20.8830359
T7h,1.0,temporal,-68.3793,-7.21586
T8,1.5,temporal,67.7709,-20.8830359
T8h,1.0,temporal,68.3793,-7.21586
TP7,1.5,temporo-parietal,-66.3606,-38.54999
TP7h,1.0,temporo-parietal,-66.7125,-45.40358
TP8,1.5,temporo-parietal,66.3606,-38.54999
TP8h,1.0,temporo-parietal,66.7125,-45.40358
TPP10h,1.0,temporo-parietal,59.7069,-55.05752
TPP7,1.0,temporo-parietal,-62.2224,-50.609
TPP7h,1.0,temporo-parietal,-62.7759,-54.1271
TPP8,1.0,temporo-parietal,62.2224,-50.609
TPP8h,1.0,temporo-parietal,62.7759,-54.1271
TPP9h,1.0,temporo-parietal,-59.7069,-55.05752
TTP7h,1.0,temporal,-69.6879,-25.781618
TTP8h,1.0,temporal,69.6879,-25.781618
